Test_ID,Condition,Assessment_Text,Expected_Code,AI_Raw_Output,Status,Latency_Seconds,Error
1,cervical_spondylosis,Cervical spondylosis with intermittent cervical radicular symptoms affecting the right upper extremity.,M47.812,"[{'code': 'M47.812', 'description': 'Cervical Spondylosis', 'confidence': 0.87}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'confidence': 0.17}]",✅ PASS,0.01,None
2,diabetes,Findings are highly suggestive of Type 2 diabetes mellitus.,E11.9,"[{'code': 'E11.9', 'description': 'Type 2 Diabetes', 'confidence': 1.0}]",✅ PASS,0.01,None
3,fever,Acute viral upper respiratory infection presenting with fever and mild respiratory symptoms.,R50.9,"[{'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'confidence': 0.81}, {'code': 'R50.9', 'description': 'Fever', 'confidence': 0.31}, {'code': 'A08.4', 'description': 'Viral Gastroenteritis', 'confidence': 0.18}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.14}, {'code': 'N39.0', 'description': 'Urinary Tract Infection', 'confidence': 0.11}]",✅ PASS,0.0,None
4,gastritis,"Acute gastritis, likely secondary to recent NSAID use.",K29.70,"[{'code': 'K29.70', 'description': 'Gastritis', 'confidence': 0.75}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.35}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.27}]",✅ PASS,0.0,None
5,gerd,Gastroesophageal reflux disease (GERD).,K21.9,"[{'code': 'K21.9', 'description': 'Gastroesophageal Reflux Disease (GERD)', 'confidence': 1.0}]",✅ PASS,0.0,None
6,headache,"Tension-type headache, likely related to stress and inadequate sleep.",R51,"[{'code': 'R51', 'description': 'Headache', 'confidence': 0.71}, {'code': 'E11.9', 'description': 'Type 2 Diabetes', 'confidence': 0.41}]",✅ PASS,0.01,None
7,hypertension,"Hypertension, with persistently elevated blood pressure and associated symptoms.",I10,"[{'code': 'I10', 'description': 'Hypertension', 'confidence': 1.0}]",✅ PASS,0.0,None
8,insomnia,"Insomnia, likely related to poor sleep hygiene, evening caffeine intake, and work-related stress.",G47.00,"[{'code': 'G47.00', 'description': 'Insomnia', 'confidence': 1.0}]",✅ PASS,0.01,None
9,knee_pain,Acute right knee strain following a twisting injury.,M25.569,"[{'code': 'M25.569', 'description': 'Knee Pain', 'confidence': 0.46}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.35}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.27}]",✅ PASS,0.03,None
10,low_back_pain,Mechanical low back pain secondary to lumbar muscle strain following heavy lifting.,M54.50,"[{'code': 'M54.50', 'description': 'Low Back Pain', 'confidence': 1.0}, {'code': 'M25.569', 'description': 'Knee Pain', 'confidence': 0.24}, {'code': 'M25.519', 'description': 'Shoulder Pain', 'confidence': 0.24}]",✅ PASS,0.02,None
11,migraine,Migraine without aura.,G43.909,"[{'code': 'G43.909', 'description': 'Migraine', 'confidence': 1.0}]",✅ PASS,0.0,None
12,otitis_media,"Acute otitis media involving the right ear, likely following a recent upper respiratory infection.",H66.90,"[{'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'confidence': 0.71}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.71}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.15}, {'code': 'N39.0', 'description': 'Urinary Tract Infection', 'confidence': 0.11}]",✅ PASS,0.01,None
13,shoulder_pain,Left shoulder muscle strain secondary to heavy lifting.,M25.519,"[{'code': 'M25.519', 'description': 'Shoulder Pain', 'confidence': 0.62}]",✅ PASS,0.0,None
14,sinusitis,"Acute sinusitis, likely following a recent upper respiratory infection.",J01.90,"[{'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'confidence': 0.8}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.61}, {'code': 'N39.0', 'description': 'Urinary Tract Infection', 'confidence': 0.13}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.13}]",✅ PASS,0.0,None
15,uti,Acute uncomplicated urinary tract infection (UTI).,N39.0,"[{'code': 'N39.0', 'description': 'Urinary Tract Infection', 'confidence': 0.93}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.2}, {'code': 'J06.9', 'description': 'Upper Respiratory Infection', 'confidence': 0.15}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.15}]",✅ PASS,0.0,None
16,viral_gastroenteritis,Acute viral gastroenteritis with mild dehydration.,A08.4,"[{'code': 'A08.4', 'description': 'Viral Gastroenteritis', 'confidence': 0.89}, {'code': 'J01.90', 'description': 'Acute Sinusitis', 'confidence': 0.24}, {'code': 'H66.90', 'description': 'Acute Otitis Media', 'confidence': 0.18}]",✅ PASS,0.01,None
